dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,7,87,45,66,NaiveBayes,No FS,OverSampling,142.0,12.0,174.0,230.0,0.8051075268817204,0.24532224532224536,0.922077922077922,0.3817204301075269
SYNCOPE,7,87,45,66,RandomForest,No FS,OverSampling,214.0,43.0,143.0,158.0,0.76903399236906,0.29802095459837014,0.8326848249027238,0.5752688172043011
SYNCOPE,7,87,45,66,IBK,No FS,OverSampling,231.0,53.0,133.0,141.0,0.7432723436235403,0.30048076923076933,0.8133802816901409,0.6209677419354839
SYNCOPE,7,87,45,66,NaiveBayes,No FS,Smote,149.0,10.0,176.0,223.0,0.8338247196207654,0.26959247648902823,0.9371069182389937,0.40053763440860213
SYNCOPE,7,87,45,66,RandomForest,No FS,Smote,229.0,42.0,144.0,143.0,0.8038646086252746,0.3431952662721895,0.8450184501845018,0.6155913978494624
SYNCOPE,7,87,45,66,IBK,No FS,Smote,226.0,38.0,148.0,146.0,0.8059891316915251,0.352112676056338,0.8560606060606061,0.6075268817204301
SYNCOPE,7,87,45,66,NaiveBayes,BF,No Sampling,213.0,12.0,360.0,531.0,0.7497868250664816,0.1883408071748879,0.9466666666666667,0.2862903225806452
SYNCOPE,7,87,45,66,RandomForest,BF,No Sampling,272.0,34.0,338.0,472.0,0.7265001734304544,0.2118380062305296,0.8888888888888888,0.3655913978494624
SYNCOPE,7,87,45,66,IBK,BF,No Sampling,272.0,35.0,337.0,472.0,0.730790770609319,0.20987012987012973,0.8859934853420195,0.3655913978494624
SYNCOPE,7,87,45,66,NaiveBayes,BF,UnderSampling,81.0,4.0,182.0,291.0,0.728118857671407,0.14161008729388946,0.9529411764705882,0.21774193548387097
SYNCOPE,7,87,45,66,RandomForest,BF,UnderSampling,226.0,30.0,156.0,146.0,0.8282821713492889,0.38604651162790704,0.8828125,0.6075268817204301
SYNCOPE,7,87,45,66,IBK,BF,UnderSampling,237.0,36.0,150.0,135.0,0.8080124869927159,0.3914590747330962,0.8681318681318682,0.6370967741935484
SYNCOPE,7,87,45,66,NaiveBayes,BF,OverSampling,69.0,2.0,184.0,303.0,0.8201959764134582,0.12440191387559812,0.971830985915493,0.18548387096774194
SYNCOPE,7,87,45,66,RandomForest,BF,OverSampling,211.0,22.0,164.0,161.0,0.8227034917331484,0.37825594563986403,0.9055793991416309,0.5672043010752689
SYNCOPE,7,87,45,66,IBK,BF,OverSampling,209.0,39.0,147.0,163.0,0.76903399236906,0.30184331797235026,0.842741935483871,0.5618279569892473
SYNCOPE,7,87,45,66,NaiveBayes,BF,Smote,93.0,4.0,182.0,279.0,0.721159960689097,0.16683022571148184,0.9587628865979382,0.25
